,x,y
0,7.394652878656351,44.769709825940964
1,7.557630997809909,44.77498650512709
2,7.7206088186188255,44.780275558328235
3,7.883586386047873,44.785575382291896
4,8.046563745061807,44.79088437376558
5,8.209540940625402,44.79620092949684
6,8.372518017703422,44.80152344623318
7,8.535495021260639,44.80685032072217
8,8.698471996261812,44.812179949711265
9,8.86144898767171,44.81751072994801
10,9.024426040455104,44.82284105817994
11,9.18740319957676,44.828169331154584
12,9.350380510001441,44.83349394561945
13,9.513358016693916,44.83881329832208
14,9.676335764618953,44.844125786009975
15,9.839313798741319,44.849429805430674
16,10.00229216402578,44.85472375333168
17,10.165270905437099,44.86000602646054
18,10.328250067940045,44.86527502156476
19,10.491229696499389,44.87052913539187
20,10.654209836079895,44.875766764689395
21,10.817190531646329,44.88098630620486
22,10.980171828163458,44.88618615668579
23,11.14315377059605,44.89136471287969
24,11.306136403908873,44.8965203715341
25,11.46911977306669,44.901651529396545
26,11.63210392303427,44.906756583214545
27,11.795088898776381,44.911833929735614
28,11.95807474525779,44.91688196570728
29,12.121061507443258,44.92189908787708
30,12.28404923029756,44.926883692992504
31,12.447037958785458,44.931834177801115
32,12.610027737871718,44.936748939050396
33,12.773018612521113,44.941626373487914
34,12.936010627698405,44.94646487786116
35,13.099003828368357,44.95126284891767
36,13.261998259495744,44.95601868340496
37,13.424993966045331,44.96073077807056
38,13.58799099298188,44.965397529662
39,13.75098938527016,44.97001733492678
40,13.913989187874943,44.97458859061244
41,14.076990445760988,44.9791096934665
42,14.239993203893068,44.98357904023649
43,14.402997507235945,44.98799502766991
44,14.566003400754386,44.99235605251431
45,14.729010929413164,44.99666051151721
46,14.892020138177042,45.00090680142612
47,15.055031072010784,45.005093318988564
48,15.21804377587916,45.00921846095207
49,15.381058294746937,45.01328062406417
50,17.378099639757917,45.057311595092514
51,17.622620615851783,45.061894880284186
52,17.867150694374153,45.06628303153326
53,18.111689346205555,45.07047064395106
54,18.356236042226495,45.07445231264883
55,18.60079025331752,45.07822263273788
56,18.845351450359146,45.08177619932953
57,19.089919104231917,45.0851076075351
58,19.334492685816336,45.08821145246582
59,19.57907166599294,45.09108232923304
60,19.82365551564225,45.093714832948024
61,20.068243705644807,45.096103558722106
62,20.312835706881124,45.09824310166657
63,20.557430990231737,45.100128056892714
64,20.802029026577166,45.10175301951184
65,21.046629286797938,45.10311258463524
66,21.29123124177458,45.10420134737421
67,21.535834362387615,45.10501390284004
68,21.780438119517576,45.10554484614405
69,22.025041984044986,45.105788772397524
70,22.269645426850374,45.10574027671177
71,22.514247918814263,45.10539395419808
72,22.75884893081719,45.10474439996776
73,23.003447933739665,45.103786209132096
74,23.248044398462227,45.102513976802385
75,23.4926377958654,45.10092229808994
76,23.7372275968297,45.09900576810605
77,23.98181327223567,45.09675898196202
78,24.226394292963825,45.09417653476913
79,24.470970129894695,45.09125302163871
